Date,Buy & Hold 60/40,Bond Only 100%,Buy Stock and Hold 100%,Regime-Based (regime_change),Regime-Based (weekly),Regime-Based (monthly),Regime-Based (quarterly)
2015-08-10,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2015-08-11,100061.75144974675,101587.9439990901,99044.28975018451,100415.8231582787,100507.2589246004,100507.2589246004,100507.2589246004
2015-08-12,99896.71967724175,101034.21833510933,99138.38723866337,100407.3946166351,100258.62533915367,100258.62533915367,100258.62533915367
2015-08-13,99690.56276445204,100708.45975864661,99011.96476832236,100279.3538927389,100057.81930982001,100057.81930982001,100057.81930982001
2015-08-14,100017.43265034509,100944.63759460798,99399.2960208365,100671.64312601964,100292.10760355493,100292.10760355493,100292.10760355493
2015-08-17,100510.6429572156,101400.6455188816,99917.30791610495,101196.28576176392,100579.28336753696,100675.51513427228,100675.51513427228
2015-08-18,100034.0088239906,100602.56404793504,99654.97200802765,100930.5918587451,100275.65882683631,100197.77362637581,100197.77362637581
2015-08-19,99937.84831611163,101596.12197009452,98832.33254678971,100097.4223135024,99670.33362707158,100447.76074908418,100447.76074908418
2015-08-20,99097.03049096835,102622.14594547998,96746.95352129394,97985.34967877076,97987.78905264672,100335.15902912818,100335.15902912818
2015-08-21,97371.92414896353,102931.60594045192,93665.4696213046,94835.96233872397,95381.86985274193,99565.44385661733,99565.44385661733
2015-08-24,95143.86405266248,102899.00877747036,89973.76756945722,91842.69060756663,92203.68009203945,98441.63465957234,98441.63465957234
2015-08-25,93752.6469336287,101245.90322985605,88757.1427361438,90704.91911379811,90990.64485056819,97250.09443577117,97250.09443577117
2015-08-26,95049.61544761443,99291.52385263394,92221.67651093475,93246.89792239304,94245.97577175537,97312.2648795974,97312.2648795974
2015-08-27,96416.88290207897,99348.52381887319,94462.45562421616,93953.36980163986,96390.9052906078,98012.99859670145,98012.99859670145
2015-08-28,96568.64910640373,99641.68523235434,94519.95835576995,94024.47704676833,96454.66098616409,98176.83012290816,98176.83012290816
2015-08-31,95786.55373840523,98876.21731310878,93726.7780219362,93321.02757528938,95624.72434691491,97556.14206313525,97556.14206313525
2015-09-01,94408.2839847152,99588.70050237981,90954.67297293879,91182.2005767916,93994.28512241198,96993.71404769948,97080.75214307154
2015-09-02,95063.79974202829,98731.74255681723,92618.50453216898,92425.42349878707,94876.00213750912,98294.70913396296,97151.4226380593
2015-09-03,95321.14522343935,99213.28410599043,92726.38596840529,92556.71573797363,95054.37541598591,98446.76122360973,97424.5578435168
2015-09-04,94830.6217267828,100119.16237910451,91304.92795856833,91510.99147092279,94340.3094305374,97357.1846281177,97451.05957712275
2015-09-08,95613.88634269402,98642.01431784086,93595.13435926283,93194.16471285703,95458.18830993275,99110.45293461284,97399.54746669927
2015-09-09,95022.76240388672,99115.32053549157,92294.39031615015,92203.68676479565,94442.68250301093,98068.58099635832,97245.97736259083
2015-09-10,95047.3772230423,98446.16912044038,92781.51595811026,92528.20157451252,94775.38483334289,98396.76079972406,97057.53934765326
2015-09-11,95545.23551660511,99066.342847422,93197.83062939385,92918.02862770788,95175.08178204721,98827.48088191394,97492.52061252916
2015-09-14,95378.58515104497,99221.43749391568,92816.68358913115,92629.34453139635,94878.81762751596,98524.25687321431,97455.72382369719
2015-09-15,95332.54743390228,97319.90354255281,94007.6433614686,93397.68419016548,95670.92239195101,99293.14529633784,96862.24477971699
2015-09-16,95676.69374496766,96952.70608896649,94826.01884896842,93986.6030188935,96305.05580831764,99939.90022711948,96924.15869917377
2015-09-17,96004.30003798226,98136.00441053217,94583.16378961565,93745.8977532757,96219.60619429481,99883.38241374558,97442.95134215077
2015-09-18,95690.89975473157,99645.790606576,93054.30585350192,92230.57352414544,95113.71694193452,98778.97119390708,97739.18705933858
2015-09-21,95296.21957641694,98021.79142470087,93479.17167756097,92651.67836464003,95287.16529183659,98934.07793877345,97054.64721561872
2015-09-22,95150.46727891313,99384.68552833462,92327.65511263214,91510.35521756136,94235.79202875338,98130.70176684427,97390.63929795695
2015-09-23,95033.71153171896,99376.51575168992,92138.50871840498,91322.88317895349,94055.57624612481,97969.49455988577,97329.81049136646
2015-09-24,95118.70740310698,100053.7959715872,91828.64835745351,91015.76575390983,93782.72590580692,97792.45534984625,97575.49249302965
2015-09-25,94747.02519095194,99188.75019297717,91785.8751896018,90946.07920995064,93714.00173262262,97647.20305785313,97130.13765336912
2015-09-28,94012.55220281395,100886.24458721568,89430.0906132128,89234.33808661046,91527.18647967541,95866.17264685173,97272.14947757169
2015-09-29,94192.95047293522,101171.85899539116,89540.34479129792,89320.27488598098,91641.14071022095,95995.5394850429,97448.03293508495
2015-09-30,95077.41003588865,100820.96012329562,91248.376644284,91024.10878318477,93262.0746369022,97397.74884775702,97784.993054933
2015-10-01,95357.566384473,101251.18039751823,91428.49037577618,91203.77983588306,93447.13311464842,97587.53305415303,97956.10947940507
2015-10-02,96388.20396549646,101864.5364172096,92737.31566435438,92509.38832807742,94715.89719529783,98864.37272766144,99199.57070981905
2015-10-05,96853.05701397028,100482.44292874284,94433.46640412191,94201.37031315036,96289.98405844896,100404.62542100312,100628.11440550949
2015-10-06,96823.09402868547,100915.80983709941,94094.61682307618,93863.35354769621,95962.91131727482,100105.18782208403,100355.93839756555
2015-10-07,97142.66089164067,100580.56219207645,94850.72669135014,94617.60506901485,96702.83246297971,100806.56688856601,101016.3513051169
2015-10-08,97307.5862155016,99738.22298426126,95687.16170299514,95451.98431267901,97513.82886291968,101557.67041327059,101707.31145466845
2015-10-09,97453.89782896548,99999.92625076248,95756.54554776747,95521.19762766182,97586.3982339682,101637.40744367511,101792.48563655998
2015-10-12,97831.39624736828,100760.469359814,95878.68083907114,95643.03273805759,97714.10689964666,101793.53203983064,101967.61035585619
2015-10-13,97507.43706174419,100932.19036218742,95224.26819478204,94990.22849196041,97047.16669436917,101180.26249810672,101386.07289126233
2015-10-14,97591.26970914449,101815.42761938444,94775.16443565118,94428.77785400747,96589.46564607875,100799.63195718921,101051.2861780435
2015-10-15,98236.32182065264,101316.54680503553,96182.8384977307,94505.34113463956,98024.08711331367,102111.99709504897,102291.32201178109
2015-10-16,98513.16728771127,101349.25868905323,96622.43968681664,94937.2753651805,98472.1036818317,102531.74449722418,102694.40920585366
2015-10-19,98417.63789930534,101071.22406362231,96648.58045642736,94962.96022110872,98479.04512080303,102541.98562428194,102694.85590716533
2015-10-20,98086.6295950234,100449.72285036542,96511.23409146206,94828.00927479252,98304.96126096736,102378.7061228181,102517.56040611502
2015-10-21,98148.37395259805,101447.41072982573,95949.01610111291,94275.59676753187,97879.93792446218,101896.52932713662,102089.37776664108
2015-10-22,99174.31166581548,101619.15631527832,97544.41523284023,95843.17099953331,99329.84291803025,103422.66292618416,103556.7156078454
2015-10-23,99473.12824448323,100752.27500009014,98620.36374074529,96784.07377236256,100227.87712883753,104400.23555552014,104463.73553941338
2015-10-26,99628.16983756059,101422.88501117218,98431.69305515285,96962.95534582301,100107.23729359823,104256.07909095367,104348.25763224885
2015-10-27,99578.73622848238,101676.410306669,98180.28684302462,96789.06912777516,99914.92806449899,104030.33896501297,104140.6055558713
2015-10-28,100112.66135974212,101267.53633952707,99342.74470655217,97666.06959804248,100879.47989429747,105114.25375602958,105164.88831626548
2015-10-29,99441.42488462053,99656.46785729621,99298.06290283674,97476.835127113,100681.8368721197,104987.06795730867,104988.84174069579
2015-10-30,99455.79750279225,100408.81660662386,98820.45143357117,97172.37377983583,100343.21547688503,104572.44768351923,104617.09671716359
2015-11-02,99975.2598739558,99947.4085992922,99993.82739039818,98052.95600132058,101306.36233886196,105659.6425224467,105646.90874023274
2015-11-03,99811.0971451021,99127.81693407048,100266.61728578985,98189.57646735247,101444.38526241787,105850.81030297905,105826.476041039
2015-11-04,99643.69637198374,99242.53797020465,99911.13530650313,97920.40194609256,101167.89487462876,105528.39826691807,105512.38179459577
2015-11-05,99470.92691781168,98980.28568160192,99798.02107528484,97806.1888073296,101049.63388016542,105402.83734256102,105387.33681295774
2015-11-06,98869.84293038165,97529.6135966061,99763.32915289867,97640.16131010534,100874.47640280052,105258.97878539318,105233.86374431479
2015-11-09,98062.23567915455,96980.5177458693,98783.38096801138,96787.16601834635,100019.78699648505,104303.6626995568,104295.30533611398
2015-11-10,98266.4962768919,97267.3367249242,98932.60264487039,96933.3722229747,100170.34545025682,104464.75672510378,104455.2968755004
2015-11-11,97992.91853233594,97062.43676002882,98613.23971387402,96620.46297933927,99883.26851967858,104151.42614008876,104147.24249505746
2015-11-12,97352.00751141403,97529.6135966061,97233.60345461931,95268.70641501741,98759.33311701188,102901.82223667407,102930.07667017869
2015-11-13,96921.09723317635,98086.93658450565,96143.8709989568,94200.99527708883,97887.75559849934,101929.27668031656,101984.49604432884
2015-11-16,97744.74678501723,97996.7740444639,97576.72861205276,95604.89769792497,99063.82007340157,103257.45765642628,103281.80505508378
2015-11-17,97731.93220398028,98160.77595997743,97446.03636664883,95476.84648192827,98931.13604855424,103148.28987681681,103176.56416769013
2015-11-18,98758.83625419563,98365.58578691584,99021.00323238217,97019.98641106764,100530.10576631236,104631.56450279967,104628.07254370606
2015-11-19,98954.39120448573,99021.29025766016,98909.79183570277,96911.02237472811,100417.19948273976,104578.35262185476,104581.88346300536
2015-11-20,99059.20130066367,98718.01700427975,99286.65749825293,97280.2723344928,100799.80866340973,104906.19300719645,104899.61014650024
2015-11-23,99106.94748284768,99021.29025766016,99164.05229963936,97160.1447422132,100675.33493377888,104815.26831514758,104813.43503821344
2015-11-24,99176.37330483989,99013.08770357657,99285.23037234876,97278.87404795448,100798.35978778328,104927.54939466616,104923.10112923195
2015-11-25,99260.46085478809,99242.53797020465,99272.40944451038,97266.3122054761,100785.3434660986,104933.24407709562,104930.70276679596
2015-11-27,99256.47600935663,99144.18107043904,99331.33930196836,97324.05120814366,100845.1714279416,104980.59188996132,104976.10584416069
2015-11-30,99137.23933075051,99537.5840864223,98870.34282696934,96872.37055171774,100377.1492621715,104581.28932521357,104589.33470268668
2015-12-01,100308.64016298724,100882.0982411954,99926.33477751513,97907.02301278921,101449.2347694008,105656.9470267215,105663.97297229673
2015-12-02,99662.52177025293,100914.94123496868,98827.57546044244,96830.4674283012,100333.73011128484,104559.4831164029,104666.10701712327
2015-12-03,97712.93097360338,98171.7154302088,97407.07466919976,95438.6721226139,98891.58056600475,103061.08791383932,103142.00136536856
